,morning_1,morning_2,morning_3,morning_4,morning_5,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
0,백미밥,배추된장국,오징어볶음,콩나물무침,깍두기,잡곡밥,김가루떡국,돈갈비찜,한식잡채,배추김치,백미밥,바지락살맑은국,코다리양념찜,청경채무침,배추김치
1,백미밥,다시마감자국,돈장조림,애호박나물,배추김치,카레라이스,유부미소국,치킨너겟머스타드소스,꽃맛살샐러드,배추김치,백미밥,부추달걀국,단호박해물찜,새송이버섯볶음,배추김치
2,백미밥,소고기뭇국,참치김치볶음,시래기된장나물,온두부찜,잡곡밥,청국장찌개,돈목살양파볶음,쪽파무생채,배추김치,백미밥,들깨미역국,닭볶음탕,깻잎순나물,배추김치
3,백미밥,버섯들깨국,너비아니구이,새우살청경채볶음,배추김치,잡곡밥,잔치국수,오징어초무침,찐만두초간장,배추김치,백미밥,근대된장국,가자미양념찜,마늘종베이컨볶음,배추김치
4,백미밥,아욱된장국,닭살채소무침,가지볶음,배추김치,잡곡밥,순두부찌개,채소달걀말이,연근조림,배추김치,백미밥,모듬어묵국,돈맥적구이,숙주나물,배추김치
5,백미밥,홍합살미역국,섭산적,청경채나물,배추김치,잡곡밥,순살감자탕,삼치구이,궁채들깨볶음,배추김치,백미밥,우렁된장찌개,훈제오리구이머스터드소스,배추김치,비트무초절임
6,백미밥,북엇국,차돌박이숙주볶음,시금치나물,배추김치,잡곡밥,호박된장찌개,고추장제육불고기,애느타리피망볶음,깍두기,백미밥,콩나물국,주꾸미볶음,배추김치,브로콜리컬리플라워숙회
7,백미밥,감자양파국,가자미양념찜,애호박새우젓볶음,배추김치,짜장밥,해물짬뽕국,과일탕수육,짜사이채무침,배추김치,백미밥,사골우거지국,돈육고추잡채꽃빵,쑥갓나물,배추김치
8,백미밥,바지락살맑은국,스크램블에그,깻잎순나물,배추김치,잡곡밥,근대된장국,제육김치볶음,양배추찜쌈장,깍두기,백미밥,들기름미역국,마파두부,취나물무침,배추김치
9,백미밥,달걀파국,돈장조림,브로콜리파프리카볶음,배추김치,잡곡밥,시금치된장국,닭갈비,쪽파무생채,배추김치,백미밥,가쓰오유부국,삼치엿장조림,단호박범벅,배추김치
10,백미밥,버섯들깨국,떡갈비구이,맛살마늘종볶음,배추김치,잡곡밥,콩비지찌개,임연수구이,부추양파무침,깍두기,백미밥,아욱된장국,오리훈제채소무침,어향가지볶음,배추김치
11,백미밥,쇠고기미역국,조기양념찜,미역줄기볶음,배추김치,잡곡밥,호박고추장찌개,돈삼겹수육,모듬쌈쌈장,배추김치,백미밥,맑은콩나물국,오징어볶음,얼갈이겉절이,깍두기
12,백미밥,시래기된장국,두부양념조림,치커리양파무침,배추김치,잡곡밥,참치김치찌개,채소달걀찜,브로콜리맛살볶음,깍두기,백미밥,닭곰탕,고갈비구이,천사채샐러드,깍두기
13,백미밥,순두부백탕,사김포달걀꽈리고추조림,파래무무침,배추김치,곤드레나물밥양념장,미소장국,해물완자전,궁중떡볶이,배추김치,백미밥,북엇국,돈육폭찹,미니새송이버섯볶음,배추김치
14,백미밥,홍합살맑은국,쇠고기당면볶음,취나물무침,배추김치,잡곡밥,달걀실파국,마파두부,오이나물,배추김치,백미밥,우렁된장찌개,코다리무조림,세발나물무침,배추김치
15,백미밥,김치콩나물국,떡갈비구이,브로콜리무침,깍두기,잡곡밥,시금치된장국,오리주물럭볶음,쑥갓나물,배추김치,백미밥,순두부찌개,돈사태찜,청경채나물,배추김치
16,백미밥,황태채뭇국,쇠고기장조림,감자채피망볶음,배추김치,잡곡밥,삼색수제비,돈맥적구이,숙주겨자무침,깍두기,백미밥,근대된장국,적어구이,연근아몬드조림,배추김치
17,백미밥,들기름미역국,닭살채소무침,느타리버섯볶음,배추김치,쇠고기콩나물밥양념장,배추된장국,가자미카레구이,부추양파무침,깍두기,백미밥,육개장,채소달걀찜,맛살피망볶음,배추김치
18,백미밥,콩비지백탕,비엔나케찹조림,애호박나물,배추김치,잡곡밥,버섯전골,고등어구이,새우살브로콜리볶음,배추김치,백미밥,얼갈이된장국,제육김치볶음,온두부찜,고사리나물
19,백미밥,모듬어묵국,오징어간장조림,콩나물무침,배추김치,잡곡밥,청국장찌개,닭갈비,도토리묵무침,깍두기,백미밥,들깨무채국,동태양념찜,어향가지볶음,배추김치
20,백미밥,애호박새우젓국,참치채소볶음,두부쑥갓무침,배추김치,잡곡밥,유부미소국,돈까스소스,마카로니콘샐러드,배추김치,백미밥,부대찌개,맛살팽이버섯전,파래무무침,배추김치
21,백미밥,콩나물국,채소달걀찜,건새우꽈리고추볶음,깍두기,잡곡밥,육개장,삼치데리야끼구이,아삭이고추된장무침,배추김치,백미밥,근대된장국,돈갈비찜,탕평채,배추김치
22,백미밥,달걀파국,쇠고기숙주볶음,배추된장나물,깍두기,잡곡밥,미역된장국,닭볶음탕,표고버섯볶음,배추김치,백미밥,청국장찌개,코다리양념찜,애호박나물,배추김치
23,백미밥,버섯들깨국,새우살파프리카볶음,양념깻잎지,배추김치,잡곡밥,시래기된장국,제육볶음,양배추찜쌈장,배추김치,백미밥,감자양파국,닭살굴소스볶음,가지나물,배추김치
24,백미밥,아욱된장국,돈장조림,애느타리버섯볶음,배추김치,잡곡밥,떡갈비구이,쪽파무생채,배추김치,들깨칼국수,백미밥,동태매운탕,치즈달걀말이,브로콜리무침,깍두기
25,백미밥,순두부백탕,가자미무조림,진미도라지생채,배추김치,카레라이스,가쓰오부시장국,새우까스타르타르소스,깍두기,과일샐러드,백미밥,아욱된장국,오향장육,부추양파무침,배추김치
26,백미밥,소고기뭇국,닭살채소무침,숙주나물,배추김치,잡곡밥,버섯된장찌개,단호박해물찜,얼갈이나물,깍두기,백미밥,달걀실파국,마파두부,오이맛살냉채,배추김치
27,백미밥,근대된장국,임연수구이,브로콜리피망볶음,배추김치,잡곡밥,돈육김치찌개,채소달걀찜,건파래자반,깍두기,백미밥,호박새우젓국,낙지볶음,콩나물무침,배추김치
28,백미밥,두부김칫국,섭산적,미니새송이버섯볶음,깍두기,잡곡밥,사골우거지국,삼치데리야끼구이,궁채들깨볶음,배추김치,백미밥,시금치된장국,소고기버섯볶음,애호박나물,배추김치
29,백미밥,콩가루배춧국,가자미양념찜,건새우마늘종볶음,깍두기,잡곡밥,쇠고기미역국,닭살두반장볶음,쑥갓두부무침,배추김치,백미밥,청국장찌개,돈육강정,부추양파무침,깍두기
30,백미밥,오징어뭇국,비엔나피망볶음,파래무무침,배추김치,잡곡밥,팽이버섯장국,돈맥적구이,도토리묵무침,배추김치,백미밥,설렁탕,동태전양념장,어향가지볶음,깍두기
31,백미밥,달걀실파국,너비아니구이,청경채나물,배추김치,잡곡밥,바지락칼국수,양배추콘샐러드,깍두기,참치김치전,백미밥,근대된장국,가자미양념찜,톳두부무침,배추김치
32,백미밥,북엇국,돈육꽈리고추조림,쑥갓나물,배추김치,잡곡밥,청국장찌개,닭갈비,콩나물무침,깍두기,백미밥,육개장,치즈달걀말이,가지볶음,배추김치
33,백미밥,소고기뭇국,마파두부,양념깻잎지,배추김치,잡곡밥,시래기된장국,제육버섯볶음,상추겉절이,배추김치,백미밥,들기름미역국,닭살굴소스조림,올방개묵무침,배추김치
34,백미밥,버섯들깨국,오징어볶음,파래무무침,배추김치,봄나물비빔밥,유부장국,해물완자전,단호박샐러드,배추김치,백미밥,어묵쑥갓국,오리주물럭,숙주나물,깍두기
35,백미밥,아욱된장국,채소달걀찜,고사리나물,배추김치,잡곡밥,부대찌개,고등어구이,궁채들깨볶음,배추김치,백미밥,홍합살맑은국,돈육짜장볶음,콩나물삼색채,깍두기
36,백미밥,감자양파국,섭산적구이,새우살애호박볶음,배추김치,잡곡밥,시래기된장국,돈목살양파볶음,양배추찜쌈장,배추김치,백미밥,사골곰탕,코다리엿장조림,팽이버섯파프리카볶음,배추김치
37,백미밥,콩나물국,두부달걀부침,브로콜리맛살볶음,깍두기,잡곡밥,유채된장국,가자미카레구이,양송이들깨볶음,깍두기,백미밥,북어미역국,닭볶음탕,도토리묵무침,배추김치
38,백미밥,소고기뭇국,조기양념찜,건새우마늘종볶음,배추김치,잡곡밥,참치김치찌개,채소달걀말이,깻잎순나물,깍두기,백미밥,봄동된장국,훈제오리구이,애느타리피망볶음,배추김치
39,백미밥,오징어뭇국,미트볼케찹조림,쑥갓두부무침,배추김치,잡곡밥,건새우미역국,춘천닭갈비,실곤약채소무침,배추김치,백미밥,모듬어묵국,돈육폭찹,얼갈이나물,깍두기
40,백미밥,달걀팟국,쇠고기장조림,애호박새우젓볶음,배추김치,잡곡밥,크림스프,돈까스소스,토마토양상추샐러드발사믹드레싱,깍두기,백미밥,아욱된장국,순살아귀찜,청포묵김가루무침,배추김치
41,백미밥,들깨무채국,두부양념조림,오복지무침,배추김치,잡곡밥,감자다시마국,제육김치볶음,상추겉절이,깍두기,백미밥,청국장찌개,너비아니구이,파채무침,연근아몬드조림
42,백미밥,황태해장국,닭살굴소스조림,취나물무침,배추김치,잡곡밥,얼갈이된장국,돈갈비찜,양념깻잎지,깍두기,백미밥,호박새우젓국,낙지볶음,감자조림,배추김치
43,백미밥,들기름미역국,스크램블에그,봄동겉절이,깍두기,잡곡밥,부대찌개,삼치구이,애호박볶음,깍두기,백미밥,시금치된장국,돈육바베큐소스볶음,도라지오이무침,배추김치
44,백미밥,감자양파국,새우살청경채볶음,파래무무침,배추김치,잡곡밥,우거지된장국,삼겹살두루치기,부추양파무침,배추김치,백미밥,육개장,동태전양념장,어향가지볶음,배추김치
45,백미밥,홍합살맑은국,참치채소볶음,애호박나물,배추김치,잡곡밥,닭곰탕,돈육꽈리고추조림,시금치나물,깍두기,백미밥,콩비지찌개,채소달걀말이,얼갈이나물,깍두기
46,백미밥,호박새우젓국,떡갈비구이,쑥갓두부무침,배추김치,짜장밥,해물짬뽕국,후르츠탕수육,양상추샐러드오리엔탈드레싱,배추김치,백미밥,시래기된장국,코다리무조림,세발나물무침,배추김치
47,백미밥,다시마채뭇국,닭살고구마조림,도라지오이무침,배추김치,잡곡밥,소고기떡국,해물완자전,한식잡채,배추김치,백미밥,버섯된장국,오리불고기,양배추찜쌈장,배추김치
48,백미밥,콩나물김칫국,돈장조림,취나물무침,깍두기,잡곡밥,얼갈이된장국,닭갈비,청경채나물,배추김치,백미밥,달걀실파국,적어구이,브로콜리깨소스무침,배추김치
49,백미밥,아욱된장국,쇠고기당면볶음,미니새송이버섯조림,배추김치,오곡밥,순두부찌개,오향장육,유채나물,깍두기,백미밥,감자양파국,오징어볶음,도토리묵무침,배추김치
50,백미밥,조갯살맑은국,미트볼조림,세발나물무침,배추김치,잡곡밥,사골우거지국,삼치데리야끼구이,연근아몬드조림,배추김치,백미밥,호박된장찌개,제육불고기,봄동겉절이,깍두기
51,백미밥,소고기뭇국,가자미양념찜,오이무침,배추김치,잡곡밥,들깨수제비국,돈채피망볶음,애호박전,깍두기,백미밥,근대된장국,안동찜닭,건새우마늘종볶음,배추김치
52,백미밥,어묵쑥갓국,섭산적,미역줄기볶음,배추김치,잡곡밥,참치김치찌개,채소달걀말이,브로콜리피망볶음,깍두기,백미밥,아욱된장국,돈육폭찹,애느타리버섯볶음,배추김치
53,백미밥,오징어뭇국,마파두부,건파래자반,배추김치,잡곡밥,호박된장찌개,콩나물돈불고기,상추겉절이,배추김치,백미밥,달걀파국,적어조림,어향가지볶음,배추김치
54,백미밥,콩나물국,비엔나케찹조림,새송이피망볶음,배추김치,잡곡밥,우거지된장국,고갈비구이,궁채들깨볶음,깍두기,백미밥,홍합살뭇국,훈제오리냉채,청포묵무침,깍두기
55,백미밥,호박새우젓국,차돌박이숙주볶음,시금치나물,배추김치,잡곡밥,미소장국,치킨가스소스,꽃맛살샐러드,깍두기,백미밥,순두부찌개,임연수구이,표고버섯조림,배추김치
56,백미밥,얼갈이된장국,날치알달걀찜,잔멸치꽈리고추볶음,깍두기,잡곡밥,들깨미역국,삼겹살굴소스볶음,치커리상추무침,배추김치,백미밥,동태쑥갓국,닭가슴살피망볶음,도라지오이무침,배추김치
57,백미밥,감자맑은국,두부양념조림,베이컨브로콜리볶음,배추김치,잡곡밥,근대된장국,단호박해물찜,도토리묵무침,배추김치,백미밥,육개장,돈육고추잡채꽃빵,파래무무침,배추김치
58,백미밥,북엇국,쇠고기메추리알장조림,감자채피망볶음,배추김치,잡곡밥,왕새우튀김초간장,과일샐러드,배추김치,어묵우동,백미밥,닭곰탕,코다리양념찜,세발나물무침,깍두기
59,백미밥,바지락맑은국,돈장조림,근대나물,배추김치,잡곡밥,가쓰오우동,너비아니구이,느타리피망볶음,깍두기,백미밥,봄동된장국,찜닭,청포묵김가루무침,깍두기
60,백미밥,감자양파국,가자미레몬구이,브로콜리파프리카볶음,배추김치,잡곡밥,청국장찌개,오리불고기,부추양파무침,배추김치,백미밥,달걀파국,마파두부,세발나물무침,배추김치
61,백미밥,시금치된장국,스크램블에그케첩,잔멸치호두볶음,배추김치,잡곡밥,들깨미역국,돈삼겹수육,모듬쌈쌈장,배추김치,백미밥,육개장,고등어데리야끼구이,달래오이무침,배추김치
62,백미밥,순두부백탕,돈채파프리카볶음,연근깨소스무침,배추김치,카레라이스,가쓰오장국,치킨가스,양배추콘샐러드,깍두기,백미밥,소고기뭇국,오징어볶음,표고달걀찜,배추김치
63,백미밥,버섯들깨국,쇠고기메추리알조림,애호박새우젓볶음,배추김치,잡곡밥,맑은콩나물국,닭갈비,깻잎순나물,배추김치,백미밥,냉이된장국,순대채소볶음,쑥갓두부무침,깍두기
64,백미밥,북어채뭇국,비엔나채소볶음,두부양념조림,배추김치,잡곡밥,근대된장국,돈육양파볶음,얼갈이겉절이,깍두기,백미밥,달걀파국,코다리양념찜,건새우마늘종볶음,배추김치
65,백미밥,시래기된장국,떡갈비조림,비름나물,배추김치,잡곡밥,콩가루배춧국,단호박해물찜,치커리유자무침,깍두기,백미밥,홍합살미역국,돈맥적구이,애느타리피망볶음,깍두기
66,백미밥,순두부백탕,참치채소볶음,알감자조림,배추김치,잡곡밥,얼갈이된장국,돈육가지볶음,탕평채,깍두기,백미밥,쑥갓어묵국,함박스테이크소스,브로콜리들깨볶음,깍두기
67,백미밥,북엇국,미트볼조림,새우살애호박볶음,배추김치,잡곡밥,달걀파국,닭살고구마조림,비름나물,배추김치,백미밥,청국장찌개,연근조림,주꾸미볶음,배추김치
68,백미밥,소고기배춧국,두부달걀구이,새송이피망볶음,깍두기,잡곡밥,유부맑은국,생선가스타르타르소스,토마토양상추샐러드발사믹샐러드,배추김치,백미밥,시래기된장국,제육고추장불고기,콩나물무침,배추김치
69,백미밥,애호박새우젓국,돈장조림,잔멸치꽈리고추볶음,배추김치,잡곡밥,닭곰탕,해물파전달래장,깻잎순나물,깍두기,백미밥,아욱된장국,훈제오리채소무침,감자채피망볶음,배추김치
70,백미밥,쑥된장국,쇠고기당면볶음,깻잎순나물,배추김치,햄김치볶음밥,들깨미역국,떡갈비조림,얼갈이겉절이,깍두기,백미밥,맑은콩나물국,코다리양념찜,맛살곤약조림,배추김치
71,백미밥,감자맑은국,닭살굴소스볶음,가지나물,배추김치,잡곡밥,냉이된장국,제육팽이버섯볶음,청경채겉절이,배추김치,백미밥,육개장,채소달걀찜,쑥갓나물,배추김치
72,백미밥,물만둣국,임연수카레구이,건새우마늘종볶음,배추김치,잡곡밥,우사골파국,오징어볶음,도토리묵무침,깍두기,백미밥,버섯들깨국,돈갈비찜,브로콜리무침,배추김치
73,백미밥,소고기뭇국,참치김치볶음,온두부찜,시금치나물,잡곡밥,호박된장국,닭볶음탕,미니새송이버섯볶음,배추김치,하이라이스,달걀파국,비엔나파프리카볶음,도라지오이무침,배추김치
74,백미밥,콩비지백탕,돈육메추리알장조림,멸치호두볶음,배추김치,잡곡밥,근대된장국,오리주물럭,양배추찜쌈장,배추김치,백미밥,동태매운탕,동그랑땡전,어향가지볶음,배추김치
75,백미밥,유채된장국,마파두부,볼어묵조림,배추김치,잡곡밥,짬뽕국,동파육,천사채샐러드,깍두기,백미밥,사골우거지국,삼치무조림,애호박볶음,배추김치
76,백미밥,소고기미역국,새우살굴소스볶음,감자표고조림,배추김치,잡곡밥,청국장찌개,코다리강정,실곤약채소무침,배추김치,백미밥,시래기된장국,돈육김치찜,우엉채아몬드조림,배추김치
77,백미밥,두부새우젓국,조기양념찜,김가루쪽파무침,배추김치,잡곡밥,아욱된장국,차돌박이숙주볶음,애느타리피망볶음,깍두기,백미밥,부대찌개,치즈달걀말이,브로콜리맛살볶음,깍두기
78,백미밥,맑은콩나물국,채소달걀찜,건새우마늘종볶음,배추김치,새싹비빔밥,달래된장국,치킨너겟머스타드소스,단호박샐러드,깍두기,백미밥,버섯들깨국,돈채피망볶음,쑥갓두부무침,배추김치
79,백미밥,봄동된장국,섭산적,유채나물무침,깍두기,잡곡밥,순두부찌개,고등어구이,죽순채파프리카볶음,배추김치,백미밥,북어미역국,주꾸미볶음,연근조림,배추김치
80,백미밥,소고기뭇국,미트볼조림,애호박나물,배추김치,잡곡밥,유부된장국,훈제오리구이,미역줄기볶음,배추김치,백미밥,콩비지찌개,가자미구이,올방개묵무침,깍두기
81,백미밥,무채된장국,오징어굴소스볶음,알감자조림,배추김치,잡곡밥,맑은콩나물국,돈갈비찜,느타리버섯볶음,깍두기,백미밥,닭곰탕,동태전양념장,실곤약채소무침,깍두기
82,백미밥,북엇국,노인,도라지오이무침,배추김치,잡곡밥,시금치된장국,차돌박이숙주볶음,사각어묵피망볶음,배추김치,백미밥,감자양파국,떡갈비조림,어향가지볶음,배추김치
83,백미밥,순두부백탕,임연수무조림,브로콜리피망볶음,배추김치,잡곡밥,들기름미역국,로제찜닭,과일샐러드,배추김치,백미밥,돈등뼈감자탕,채소달걀말이,연근조림,깍두기
84,백미밥,바지락살맑은국,닭살파프리카조림,토란대들깨나물,배추김치,잡곡밥,근대된장국,오삼불고기,양배추쌈쌈장,배추김치,백미밥,설렁탕,너비아니구이,잔멸치꽈리고추볶음,깍두기
85,백미밥,두부새우젓국,토마토달걀볶음,청경채나물,배추김치,잡곡밥,청국장찌개,코다리양념찜,가지볶음,깍두기,백미밥,들깨수제비국,훈제오리두루치기,숙주나물무침,배추김치
86,백미밥,어묵쑥갓국,소고기장조림,건새우마늘종볶음,배추김치,돈육짜장밥,달걀실파국,탕수육,꽃맛살샐러드,깍두기,백미밥,호박된장찌개,동태무조림,애느타리버섯볶음,배추김치
87,백미밥,다시마감자국,닭살굴소스볶음,애호박새우젓볶음,배추김치,잡곡밥,근대된장국,제육볶음,고사리나물,깍두기,백미밥,콩비지찌개,채소달걀찜,취나물무침,배추김치
88,백미밥,홍합살맑은국,두부양념조림,브로콜리햄볶음,배추김치,잡곡밥,돈육김치찌개,고등어구이,맛살팽이버섯전,깍두기,백미밥,떡만둣국,해물콩나물찜,연근조림,깍두기
89,백미밥,건새우미역국,너비아니구이,시금치나물,배추김치,잡곡밥,버섯순두부찌개,가자미양념찜,우엉들깨무침,배추김치,백미밥,냉이된장국,닭살카레볶음,가지나물,배추김치
90,백미밥,감자양파국,돈육메알장조림,참나물무침,배추김치,잡곡밥,맑은콩나물국,낙지볶음,청포묵무침,배추김치,백미밥,닭곰탕,삼치무조림,비름나물무침,깍두기
91,백미밥,황태채뭇국,쇠고기숙주볶음,쑥갓두부무침,배추김치,잡곡밥,유부장국,생선까스타르타르소스,양상추샐러드,깍두기,백미밥,쇠고기미역국,훈제오리채소무침,미나리무생채,배추김치
92,백미밥,달걀파국,단호박해물찜,느타리버섯볶음,배추김치,잡곡밥,참치김치찌개,닭살굴소스볶음,연근조림,깍두기,백미밥,근대된장국,돈육짜장볶음,실곤약채소무침,배추김치
