name,weight,Class,Energy,Protein,Potassium,Phosphorus,Sodium
어묵우동,148.5,면,203.0,7.4,350.7,105.0,579.1
돈가스,84.45,튀김,252.3,12.5,202.7,122.1,291.6
후리가케밥,44.0,밥,122.5,2.0,50.8,32.9,1.5
옥돔구이,127.05,구이,136.0,22.2,5.6,282.3,100.8
메밀묵무침,60.6,샐러드,31.8,0.8,96.3,25.0,301.3
감자수제비,930.6,반찬,495.3,14.3,686.1,186.8,1868.6
고추참치덮밥,386.5,밥,964.2,22.6,646.8,340.9,1098.7
김치덮밥,439.0,밥,980.5,24.9,859.4,370.7,1372.1
김치잡채밥,391.2,밥,993.1,21.2,593.7,314.1,572.7
김치콩나물밥,727.5,밥,991.7,27.1,878.2,402.3,1407.8
달걀케첩볶음밥,383.5,밥,1111.5,30.5,556.6,395.3,920.2
닭죽,741.3,수프(간식),619.9,55.2,867.0,342.3,855.7
돼지고기김치볶음밥,358.1,밥,956.3,23.1,611.9,327.3,1476.1
돼지고기부추덮밥,393.2,밥,1001.3,27.1,737.2,362.8,1150.6
두부카레밥,670.1,밥,1048.2,22.1,573.5,358.6,1573.4
떡만두국,814.2,국,756.3,26.2,478.6,290.2,1767.6
버섯잡채밥,361.6,밥,993.1,20.7,438.4,310.3,731.1
볶음밥,371.1,밥,943.9,21.5,639.8,327.1,2034.7
북어해장국밥,546.5,밥,362.3,28.7,656.2,315.2,1037.8
비빔국수,310.1,면,823.4,24.0,603.5,255.4,3034.7
비빔냉면,319.5,면,726.3,21.8,761.5,264.2,1472.3
비빔밥,402.5,밥,975.2,26.5,768.4,387.8,1380.9
삼계탕,993.4,국,1503.2,135.7,1346.3,878.6,458.5
쇠고기김치볶음밥,339.2,밥,893.0,23.2,562.7,320.0,1187.3
쇠고기버섯덮밥,443.6,밥,889.1,23.2,527.9,337.1,504.5
스파게티,542.5,면,1232.7,40.4,1783.1,571.1,929.0
야채덮밥,343.1,밥,834.5,18.0,489.7,284.5,395.5
야채카레볶음밥,330.5,밥,911.7,20.9,547.0,327.9,907.9
열무비빔밥,397.0,밥,983.9,20.8,750.6,314.9,1590.7
오징어덮밥,417.2,밥,951.3,38.1,897.8,576.2,1584.7
오징어볶음밥,375.5,밥,944.8,28.6,694.8,444.5,1527.5
오징어야채비빔밥,360.0,밥,865.1,24.1,584.1,379.4,236.2
오징어카레밥,670.6,밥,982.0,27.3,696.8,422.5,1669.5
자장밥,584.5,밥,1665.2,23.3,591.7,339.5,1020.0
제육덮밥,342.6,밥,1012.6,28.2,603.5,363.7,1102.7
쫄면,443.0,면,1077.8,30.7,803.3,314.2,5623.3
참치김치볶음밥,337.2,밥,944.0,28.1,528.5,359.0,986.6
참치주먹밥,295.0,밥,1039.8,21.7,379.7,301.5,899.2
카레밥,467.5,밥,937.6,21.7,565.6,313.0,948.9
칼국수,721.2,면,562.6,22.5,479.4,277.7,2100.3
콩나물김치덮밥,394.5,밥,967.0,25.3,724.2,365.2,1102.0
콩나물비빔밥,337.3,밥,908.7,20.9,545.9,309.0,1277.9
해물김치덮밥,402.5,밥,962.6,26.8,758.3,402.9,1759.0
해물볶음밥,384.2,밥,960.5,32.1,672.8,484.0,1150.6
햄야채볶음밥,365.1,밥,1016.5,21.7,712.0,338.0,1505.0
갈비탕,599.0,국,436.2,22.8,453.0,181.8,668.6
감자달걀국,425.2,국,70.8,5.2,214.0,108.4,613.8
감자두부조개탕,108.0,국,98.7,9.8,281.5,136.4,930.0
감자탕,779.7,국,393.4,42.7,1725.1,528.2,1748.6
건새우아욱된장국,369.7,국,79.6,5.8,315.1,104.5,1521.6
근대콩나물조개국,446.4,국,106.8,16.2,455.5,241.1,1013.2
김치국,414.4,국,59.1,6.7,372.4,229.1,779.3
김치두부국,453.0,국,67.4,5.9,332.2,141.6,1134.3
김치만두국,470.7,국,86.1,8.7,355.8,228.8,1288.0
꼬리곰탕,467.3,국,150.4,19.7,163.2,25.3,1716.9
냉이국,501.0,국,126.4,11.2,477.2,228.4,1441.9
냉이조개국,496.0,국,232.6,37.6,503.4,342.7,1985.0
달걀국,428.23,국,84.4,8.6,140.1,150.9,836.8
닭고기육개장,675.3,반찬,269.5,40.2,871.6,250.9,679.9
대구미역국,441.0,국,87.5,16.8,51.1,176.2,1267.8
대구탕,594.5,국,188.5,31.7,331.2,344.7,1351.3
두부쑥갓국,460.0,국,129.2,10.4,426.1,217.8,1324.7
두부조개탕,565.0,국,213.4,23.0,297.3,317.9,1094.4
무두부국,437.0,국,92.3,7.3,479.7,145.3,1824.5
무맑은국,457.0,국,93.5,6.8,321.5,78.3,1557.0
미역국,364.0,국,32.9,1.7,58.0,26.4,988.6
미역오이냉국,417.5,국,31.0,1.1,223.8,33.5,1108.2
북어국,465.7,국,173.1,25.0,463.9,255.4,1260.5
북어콩나물국,442.0,국,123.4,15.1,492.3,203.9,1051.3
배추국,462.8,국,82.7,5.8,328.1,106.0,1296.1
생선묵무국,464.1,국,108.6,7.2,345.7,104.8,1301.7
쇠고기육개장,495.2,반찬,256.7,18.2,511.0,185.4,1178.4
순두부된장국,189.5,국,146.3,11.5,587.3,213.7,1738.4
쑥갓두부국,460.0,국,129.2,10.4,426.1,217.8,1324.7
아욱국,404.0,국,74.2,5.1,447.2,96.3,1132.6
야채달걀국,476.9,국,227.5,20.2,274.1,284.2,680.5
양배추두부국,398.0,국,66.7,5.4,277.6,118.6,1104.5
양파두부국,484.0,국,153.9,10.9,536.1,178.1,1390.6
오징어무국,541.1,국,124.1,20.1,636.0,307.3,1019.0
오징어콩나물국,116.0,국,75.0,11.2,531.0,198.5,1074.5
조개국,408.8,국,52.6,8.1,159.5,20.5,1136.6
조갯살미역국,386.5,국,46.3,6.6,289.5,65.0,2777.9
