,Category,Energy,Protein,Potassium,Phosphorus,Sodium
"가자미, 돌가자미, 생것",어패류및그제품,90,20,263,234,185
"가자미, 생것",어패류및그제품,129,22.1,377,196,230
"가지, 생것",채소류,19,1.13,232,35,0
"간장, 개량, 산분해",조미료류,54,7.41,422,127,5476
"간장, 개량, 양조",조미료류,103,9.15,480,145,4783
"간장, 재래",조미료류,34,5.92,657,121,7999
"감, 단감, 생것",과일류,57,0.38,157,19,1
"감, 떫은감, 곶감, 반건시",과일류,219,1.76,567,69,1
"감자, 대지, 생것",감자류및전분류,67,2.01,412,33,1
"감자, 수미, 생것",감자류및전분류,70,1.93,335,62,1
"개비름, 생것",채소류,23,2.72,670,56,65
"갯기름나물, 하우스, 생것",채소류,50,3.12,661,67,9
"갯나물, 세발나물, 생것",채소류,18,1.61,322,38,321
"게, 꽃게, 생것",어패류및그제품,77,16.19,216,137,418
"게맛살, 어육함량이 낮은것",어패류및그제품,119,7.7,41,72,668
"게맛살, 어육함량이 높은것",어패류및그제품,93,11.67,73,124,777
겨자 페이스트,조미료류,296,8.01,223,211,1423
"겨자, 가루",조미료류,413,18.35,930,1041,1
"겨자, 적색, 생것",채소류,24,3.54,457,55,43
"결명자차, 말린것",차류,390,19.07,1047,543,6
"계피, 가루",조미료류,349,3.63,700,63,18
"계피차, 가루",차류,357,0,745,14,5
"고구마, 분질(밤) 고구마, 생것",감자류및전분류,154,1.01,370,49,7
"고구마, 줄기, 껍질 포함, 생것",채소류,23,0.88,370,30,1
"고구마, 줄기, 데친것",채소류,17,0.59,364,11,1
"고기 소스, 통조림",조미료류,96,3.8,250,47,610
"고둥, 갈색띠매물고둥, 생것",어패류및그제품,78,15.1,345,118,50
"고등어, 생것",어패류및그제품,183,20.2,310,232,75
"고등어, 서해, 생것",어패류및그제품,285,20.26,332,303,30
"고려엉겅퀴(곤드레), 말린것",채소류,290,28.72,1966,419,4
"고려엉겅퀴(곤드레), 재배, 말린것",채소류,310,5.6,550,116,2
"고비, 야생, 말린것, 삶은것",채소류,31,1.68,60,29,4
"고사리, 데친것",채소류,21,2.74,197,57,2
"고사리, 말린것",채소류,261,25.8,2879,246,15
"고추, 꽈리고추, 생것",채소류,33,1.83,279,42,2
"고추, 빨간색, 말린것",채소류,312,13.88,2634,365,4
"고추, 빨간색, 생것",채소류,85,3.12,575,81,1
"고추, 오이고추, 생것",채소류,23,0.99,227,27,1
"고추, 청양고추, 생것",채소류,31,1.53,290,37,1
"고추, 풋고추, 생것",채소류,29,1.71,270,38,1
고추기름,유지류,919,0.02,0,0,0
"고추장, 개량",조미료류,205,3.66,422,63,2486
"고추장, 재래",조미료류,163,6.06,696,141,3009
고춧가루,조미료류,319,13.29,2541,342,13
"고춧잎, 생것",채소류,45,5.07,589,62,4
"곤약(구약나물), 국수형, 생것",감자류및전분류,7,0.08,13,4,2
"곤약(구약나물), 판형, 생것",감자류및전분류,6,0.12,13,3,2
"과자, 비스킷, 소프트",곡류및그제품,489,5.7,107,113,227
"과자, 약과",곡류및그제품,418,5.2,109,73,92
"과자, 쿠키, 통밀",곡류및그제품,471,6.48,123,83,652
"과자, 크래커",곡류및그제품,444,10.4,136,86,700
"과자, 크래커, 땅콩샌드",곡류및그제품,524,7.66,191,128,195
"국수, 소면, 말린것, 삶은것",곡류및그제품,126,3.55,5,26,68
굴 소스,조미료류,117,2.07,138,56,4608
"굴, 석굴, 생것",어패류및그제품,64,8.9,259,125,232
"귤, 만감류, 한라봉, 생것",과일류,50,0.99,154,17,1
"귤, 온주밀감, 궁천조생, 노지, 생것",과일류,39,0.29,115,13,1
"귤, 온주밀감, 생것",과일류,39,0.53,101,12,2
"근대, 생것",채소류,18,1.78,562,34,173
"기장, 도정, 생것",곡류및그제품,360,11.2,233,226,6
"김, 김밥용김, 말린것",해조류,182,38.46,2655,532,903
"김, 둥근돌김, 말린것",해조류,165,35.5,3500,472,684
