t0,t1,t2,t3,t4,t5,t6
825,329,327,597,741,79,826
825,646,73,163,785,325,826
825,329,318,733,703,325,826
825,329,108,198,524,325,826
825,725,627,724,85,325,826
825,329,354,122,421,325,826
825,329,448,690,500,606,826
825,646,704,167,678,325,826
825,329,234,138,81,325,826
825,329,333,98,431,325,826
825,646,645,598,682,325,826
825,329,71,9,248,325,826
825,329,514,149,12,325,826
825,646,488,696,562,325,826
825,329,283,166,481,325,826
825,329,812,439,701,325,826
825,646,489,411,67,325,826
825,329,614,820,325,390,826
825,329,363,686,495,325,826
825,646,804,54,522,79,826
825,329,737,662,325,373,826
825,329,18,9,531,325,826
825,676,793,63,675,325,826
825,329,397,175,505,325,826
825,329,318,493,81,325,826
825,646,71,653,545,79,826
825,329,230,253,711,325,826
825,329,125,198,375,325,826
825,646,497,133,678,325,826
825,329,4,415,117,325,826
825,329,333,241,259,325,826
825,646,745,637,357,79,826
825,329,514,580,556,325,826
825,329,467,661,310,325,826
825,646,802,171,281,325,826
825,329,256,597,557,79,826
825,329,499,223,716,325,826
825,646,692,698,368,79,826
825,329,136,39,699,79,826
825,329,487,401,767,325,826
825,57,306,791,66,325,826
825,329,363,197,300,325,826
825,329,810,462,711,325,826
825,646,123,253,586,325,826
825,329,614,732,441,325,826
825,329,78,241,369,79,826
825,646,497,579,505,325,826
825,329,488,170,701,325,826
825,329,815,470,25,325,826
825,646,409,166,480,79,826
825,329,71,650,561,325,826
825,329,230,149,105,325,826
825,471,327,10,357,79,826
825,329,634,698,268,325,826
825,329,744,387,524,325,826
825,646,338,42,428,325,826
825,329,559,653,606,49,826
825,329,283,593,741,325,826
825,646,704,133,161,79,826
825,329,232,209,556,325,826
825,329,530,694,222,325,826
825,646,627,164,252,325,826
825,329,349,266,767,325,826
825,329,737,698,29,79,826
825,646,634,412,513,325,826
825,329,71,163,753,325,826
825,329,125,468,328,79,826
825,646,309,138,779,325,826
825,329,704,733,524,325,826
825,329,333,432,537,325,826
825,646,499,655,545,325,826
825,329,18,141,11,325,826
825,329,514,198,521,325,826
825,646,241,678,325,237,826
825,329,206,712,369,79,826
825,329,487,8,672,325,826
825,725,2,425,79,61,826
825,329,514,599,357,325,826
