name,ingredient,weight,category,note
가쓰오부시우동,"우동면, 생것",150,면,한식
,"다랑어, 가다랑어 육수",150,,
,"파, 대파, 생것",4.5,,
,"다시마, 말린것",3,,
,미소,3,,
가쓰오부시장국,"쑥갓, 생것",30,국,한식
,"간장, 재래",7.5,,
,"다랑어, 가다랑어 육수",3,,
,"다시마, 생것",3,,
,"멸치, 대멸치, 삶아서 말린것",3,,
,"양파, 생것",3,,
,"파, 생것",3,,
,"김, 참김, 구운것",0.75,,
,"마늘, 생것",0.75,,
가쓰오우동,"우동면, 생것",75,면,한식
,어묵,15,,
,"게맛살, 어육함량이 낮은것",4.5,,
,"간장, 개량, 산분해",3,,
,"다시마, 생것",3,,
,"쑥갓, 생것",3,,
,"파, 골파, 생것",1.5,,
,"마늘, 생것",0.75,,
,"소금, 정제염",0.3,,
가쓰오유부국,"다랑어, 가다랑어 육수",75,국,한식
,"팽이버섯, 생것",15,,
,"두부, 유부",7.5,,
,"멸치, 대멸치, 삶아서 말린것",3,,
,"마늘, 생것",1.5,,
,"파, 대파, 생것",1.5,,
,"다시마, 말린것",0.75,,
,소금,0.45,,
가쓰오장국,"다랑어, 가다랑어 육수",100,국,한식
,"어묵, 구운것",30,,
,"무, 조선무, 생것",20,,
,"양파, 생것",20,,
,"파, 대파, 생것",10,,
,"간장, 개량, 양조",1,,
,"마늘, 생것",0.5,,
가자미구이,"가자미, 생것",90,구이,한식
,"밀, 중력밀가루",7.5,,
,콩기름,7.5,,
,소금,0.3,,
가자미레몬구이,"가자미, 돌가자미, 생것",105,구이,한식
,"레몬, 생것",7.5,,
,"밀, 중력밀가루",4.5,,
,콩기름,3,,
,소금,0.3,,
,"후추, 검은색, 가루",0.15,,
가자미무조림,"가자미, 생것",105,조림,한식
,"무, 조선무, 생것",45,,
,"간장, 재래",3,,
,"설탕, 백설탕",1.5,,
,"마늘, 생것",0.3,,
가자미양념찜,"가자미, 생것",120,찜,한식
,"파, 생것",11.25,,
,"간장, 개량, 양조",3,,
,"마늘, 생것",1.2,,
,고춧가루,0.6,,
,참기름,0.45,,
,"참깨, 흰색, 볶은것",0.3,,
가자미카레구이,"가자미, 돌가자미, 생것",105,구이,한식
,"밀, 강력밀가루",15,,
,"카레 소스, 가루",4.5,,
,콩기름,4.5,,
,"소금, 가공염, 죽염",1.5,,
,"후추, 흰색, 가루",0.3,,
가지나물,"가지, 생것",45,샐러드,한식
,"간장, 재래",2.25,,
,"마늘, 생것",0.75,,
,참기름,0.75,,
,"파, 생것",0.75,,
,"깨소금, 가루, 볶은것",0.45,,
가지볶음,"가지, 생것",52.5,볶음,한식
,"파, 생것",7.5,,
,"간장, 개량, 양조",4.5,,
,콩기름,3.75,,
,"마늘, 생것",1.5,,
,참기름,0.3,,
,"후추, 검은색, 가루",0.15,,
가지튀김양념장,"가지, 생것",45,튀김,한식
,"밀, 튀김가루",,,
,콩기름,,,
,"간장, 개량, 양조",6,,
,"설탕, 가루",3,,
,"식초, 양조",3,,
,"마늘, 생것",0.75,,
,참기름,0.75,,
감귤,"귤, 온주밀감, 생것",100,과일(간식),한식
감자고추장조림,"감자, 대지, 생것",60,조림,한식
,"고추장, 재래",10.5,,
,"간장, 개량, 양조",4.5,,
,콩기름,2.25,,
,"파, 생것",2.25,,
,참기름,0.3,,
감자다시마국,"감자, 대지, 생것",52.5,국,한식
,"파, 대파, 생것",4.5,,
,"멸치, 대멸치, 삶아서 말린것",3,,
,참기름,2.25,,
,"다시마, 말린것",1.5,,
,"간장, 재래",0.75,,
,"마늘, 생것",0.75,,
,소금,0.6,,
감자맑은국,"감자, 대지, 생것",75,국,한식
,"간장, 재래",3,,
,"다시마, 생것",3,,
,"멸치, 대멸치, 삶아서 말린것",3,,
,"파, 생것",3,,
,"마늘, 생것",2.4,,
,소금,1.2,,
감자양파국,"감자, 대지, 생것",45,국,한식
,"양파, 생것",7.5,,
,"파, 생것",4.5,,
,"멸치, 대멸치, 삶아서 말린것",3,,
,"간장, 재래",0.75,,
,"마늘, 생것",0.75,,
,소금,0.6,,
감자양팟국,"감자, 대지, 생것",45,국,한식
,"느타리버섯, 생것",15,,
,"양파, 생것",15,,
,"멸치, 대멸치, 삶아서 말린것",3,,
,"파, 실파, 생것",3,,
,"다시마, 말린것",1.5,,
,마늘 페이스트,1.5,,
,"간장, 재래",0.6,,
,소금,0.3,,
,"후추, 검은색, 가루",0.3,,
감자옹심이국,"감자, 대지, 생것",105,국,한식
,"파, 생것",9,,
,"멸치, 대멸치, 삶아서 말린것",6,,
,"간장, 재래",1.5,,
,"마늘, 생것",1.5,,
,소금,0.75,,
감자조림,"감자, 대지, 생것",90,조림,한식
,"간장, 개량, 양조",4.5,,
,콩기름,3,,
,"파, 생것",3,,
,물엿,1.5,,
,"설탕, 백설탕",1.5,,
,"마늘, 생것",0.3,,
,참기름,0.3,,
감자채당근볶음,"감자, 대지, 생것",60,볶음,한식
,"양파, 생것",15,,
,"당근, 뿌리, 생것",7.5,,
,"파, 생것",2.25,,
,"간장, 개량, 양조",0.75,,
,콩기름,0.75,,
,"마늘, 생것",0.3,,
,소금,0.15,,
,참기름,0.15,,
감자채볶음,"감자, 대지, 생것",105,볶음,한식
,"파, 생것",2.25,,
,"간장, 개량, 양조",0.75,,
,콩기름,0.75,,
,"마늘, 생것",0.3,,
,소금,0.15,,
,참기름,0.15,,
감자채카레볶음,"감자, 대지, 생것",60,볶음,한식
,"당근, 뿌리, 생것",7.5,,
,"양파, 생것",7.5,,
,"카레 소스, 가루",6,,
,콩기름,3,,
,"깨소금, 가루, 볶은것",0.3,,
,"마늘, 생것",0.3,,
,소금,0.15,,
감자채피망볶음,"감자, 대지, 생것",60,볶음,한식
,"양파, 생것",15,,
,"피망, 빨간색, 생것",7.5,,
,"파, 생것",2.25,,
,"간장, 개량, 양조",0.75,,
,콩기름,0.75,,
,"마늘, 생것",0.3,,
,소금,0.15,,
,참기름,0.15,,
감자채햄볶음,"감자, 대지, 생것",52.5,볶음,한식
,"햄, 등심햄",30,,
,"파, 생것",2,,
,"간장, 개량, 양조",0.75,,
,콩기름,0.75,,
,"마늘, 생것",0.3,,
,소금,0,,
,참기름,0,,
감자표고조림,"감자, 대지, 생것",60,조림,한식
,"표고버섯, 참나무재배, 생것",15,,
,"간장, 개량, 양조",3.75,,
,콩기름,2.25,,
,"파, 생것",2.25,,
,물엿,1.5,,
,"마늘, 생것",0.3,,
,참기름,0.3,,
강된장찌개,두부,22.5,국,한식
,"된장, 개량",9,,
,"양파, 생것",7.5,,
,"큰느타리버섯(새송이버섯), 생것",7.5,,
,"호박, 애호박, 생것",7.5,,
,"고추장, 재래",4.5,,
,참기름,4.5,,
,"고추, 풋고추, 생것",3,,
,"멸치, 대멸치, 삶아서 말린것",3,,
,"마늘, 생것",2.25,,
건새우꽈리고추볶음,"고추, 꽈리고추, 생것",105,볶음,한식
,"새우 볶음, 말린것, 볶은것",11,,
,"간장, 재래",2,,
,물엿,2,,
,콩기름,2,,
,"깨소금, 가루, 볶은것",0.68,,
건새우마늘종볶음,마늘종 장아찌,37.5,볶음,한식
,"새우, 꽃새우, 삶아서 말린것",7.5,,
,"간장, 개량, 양조",1.5,,
,물엿,1.5,,
,참기름,1.5,,
,콩기름,1.5,,
,"파, 생것",1.5,,
,"마늘, 생것",0.75,,
,"깨소금, 가루, 볶은것",0.15,,
건새우무조림,"무, 조선무, 생것",105,조림,한식
,"새우, 꽃새우, 삶아서 말린것",10.5,,
,"간장, 개량, 양조",4.5,,
,물엿,1.5,,
,참기름,1.5,,
건새우뭇국,"무, 조선무, 생것",37.5,국,한식
,"새우, 중하, 삶아서 말린것",3,,
,"파, 생것",1.5,,
,"다시마, 말린것",0.75,,
,"마늘, 생것",0.75,,
,"멸치, 대멸치, 삶아서 말린것",0.75,,
,"소금, 천일염",0.75,,
건새우미역국,"미역, 말린것",4.5,국,한식
,"새우, 꽃새우, 삶아서 말린것",4.5,,
,참기름,2.25,,
,"간장, 재래",0.75,,
,"마늘, 생것",0.75,,
,소금,0.6,,
건파래볶음,"파래, 말린것",7.5,볶음,한식
,콩기름,2.25,,
,"간장, 개량, 양조",0.75,,
,참기름,0.3,,
,"참깨, 흰색, 볶은것",0.3,,
건파래자반,"파래, 말린것",4.5,볶음,한식
,"설탕, 백설탕",1.5,,
,"깨소금, 가루, 볶은것",0.75,,
,올리브유,0.75,,
,참기름,0.75,,
,"소금, 천일염",0.3,,
검은콩두유,"두유, 검은콩",200,우유(간식),한식
결명자차,"결명자차, 말린것",1,음료(간식),한식
고갈비,"고등어, 생것",105,반찬,한식
,"밀, 중력밀가루",7.5,,
,콩기름,3,,
,소금,0.3,,
고갈비구이,"고등어, 생것",90,구이,한식
,"양파, 생것",7.5,,
,"고추장, 재래",4.5,,
,"파, 생것",3,,
,"간장, 재래",1.5,,
,"밀, 중력밀가루",1.5,,
,콩기름,1.5,,
,"마늘, 생것",0.75,,
,물엿,0.75,,
고구마맛탕,"고구마, 분질(밤) 고구마, 생것",64,튀김,한식
,물엿,4.8,,
,"설탕, 가루",3.2,,
,콩기름,3.2,,
고구마순나물,"고구마, 줄기, 껍질 포함, 생것",90,샐러드,한식
,"간장, 개량, 양조",0.75,,
,참기름,0.75,,
,"마늘, 생것",0.45,,
,"파, 대파, 생것",0.45,,
,"참깨, 흰색, 볶은것",0.3,,
고등어구이,"고등어, 생것",60,구이,한식
,콩기름,1.5,,
,"소금, 천일염",0.75,,
고등어데리야끼구이,"고등어, 서해, 생것",60,구이,한식
,"간장, 개량, 양조",3,,
,콩기름,3,,
,물엿,2.25,,
,소금,0.15,,
,"후추, 검은색, 가루",0.15,,
고등어무조림,"고등어, 생것",45,조림,한식
,"무, 조선무, 생것",22.5,,
,"간장, 개량, 양조",3.75,,
,"설탕, 백설탕",3,,
,"마늘, 생것",1.5,,
,고춧가루,0.75,,
고등어시래기조림,"고등어, 생것",60,조림,한식
,"무청, 시래기, 말린것, 삶은것",22.5,,
,"간장, 개량, 양조",3.75,,
,"설탕, 백설탕",3,,
,"마늘, 생것",1.5,,
고등어양념구이,"고등어, 생것",75,구이,한식
,"파, 생것",11.25,,
,콩기름,4.5,,
,"청주, 알코올 16%",3,,
,"간장, 개량, 양조",1.2,,
,"마늘, 생것",1.2,,
,고춧가루,0.6,,
,참기름,0.45,,
,소금,0.3,,
,"후추, 검은색, 가루",0.3,,
고등어카레구이,"고등어, 서해, 생것",60,구이,한식
,"밀, 중력밀가루",3,,
,콩기름,3,,
,"카레 소스, 가루",1.5,,
,소금,0,,
고비나물,"고비, 야생, 말린것, 삶은것",67.5,샐러드,한식
,참기름,2.25,,
,"파, 생것",2.25,,
,"간장, 개량, 양조",0.75,,
,"마늘, 생것",0.3,,
,"참깨, 흰색, 볶은것",0.15,,
고사리나물,"고사리, 데친것",52.5,샐러드,한식
,참기름,2.25,,
,"파, 생것",2.25,,
,"간장, 개량, 양조",0.75,,
,"마늘, 생것",0.3,,
,"참깨, 흰색, 볶은것",0.15,,
고사리들깨나물,"고사리, 데친것",52.5,샐러드,한식
,"들깨, 말린것",4.5,,
,참기름,2.25,,
,"파, 생것",2.25,,
,"간장, 개량, 양조",0.75,,
,"마늘, 생것",0.3,,
,"참깨, 흰색, 볶은것",0.15,,
고사리들깨볶음,"고사리, 데친것",45,샐러드,한식
,콩기름,4.5,,
,"간장, 개량, 양조",1.5,,
,"들깨, 말린것",1.5,,
,"파, 대파, 생것",1.05,,
,"마늘, 생것",0.45,,
고사리들깨찜,"고사리, 데친것",105,찜,한식
,"들깨, 말린것",7.5,,
,"마늘, 생것",4.5,,
,"간장, 개량, 양조",3,,
,"파, 생것",3,,
,참기름,1.5,,
,"들깨, 볶은것",0.75,,
고추잡채꽃빵,"돼지고기, 등심, 생것",60,볶음,한식
,꽃빵,45,,
,"양파, 생것",7.5,,
,"파프리카, 빨간색, 생것",7.5,,
,"피망, 초록색, 생것",7.5,,
,굴 소스,4.5,,
,"설탕, 백설탕",1.5,,
,콩기름,1.5,,
,"마늘, 생것",0.75,,
,"후추, 검은색, 가루",0.15,,
고추장제육불고기,"돼지고기, 등심, 생것",90,볶음,한식
,"양파, 생것",15,,
,"당근, 뿌리, 생것",12,,
,콩기름,4.5,,
,"파, 생것",4.5,,
,"간장, 재래",3,,
,"마늘, 생것",3,,
,고춧가루,1.5,,
,물엿,1.5,,
,"발효주, 청주, 알코올 16%",1.5,,
,"설탕, 백설탕",1.2,,
,"생강, 뿌리줄기, 생것",0.3,,
고춧잎나물,"고춧잎, 생것",60,샐러드,한식
,"파, 대파, 생것",2.25,,
,"간장, 개량, 양조",0.75,,
,"마늘, 생것",0.75,,
,참기름,0.3,,
,소금,0.15,,
,"참깨, 흰색, 볶은것",0.15,,
곤드레나물,"고려엉겅퀴(곤드레), 재배, 말린것",7.5,샐러드,한식
,"파, 생것",2.25,,
,"간장, 재래",0.75,,
,"마늘, 생것",0.3,,
,참기름,0.3,,
,소금,0.15,,
,"참깨, 흰색, 볶은것",0.15,,
곤드레나물밥양념장,"멥쌀, 백미, 생것",64,일품밥,한식
,"고려엉겅퀴(곤드레), 말린것",,,
,"간장, 개량, 양조",8,,
,"파, 대파, 생것",0.8,,
,마늘 페이스트,0.48,,
,참기름,0.48,,
곤약어묵국,어묵,45,국,한식
,"곤약(구약나물), 판형, 생것",10.5,,
,"무, 조선무, 생것",10.5,,
,"쑥갓, 생것",10.5,,
,"파, 대파, 생것",4.5,,
,"멸치, 대멸치, 삶아서 말린것",3,,
,"간장, 재래",0.75,,
,소금,0.75,,
,"후추, 검은색, 가루",0.3,,
곰취된장국,"취나물, 곰취, 생것",78.75,국,한식
,"파, 생것",11.25,,
,"된장, 개량",6.75,,
,"멸치, 대멸치, 삶아서 말린것",4.5,,
,"마늘, 생것",1.2,,
,"다시마, 말린것",0.45,,
곶감,"감, 떫은감, 곶감, 반건시",50,과일(간식),한식
과일샐러드,"요구르트, 호상, 플레인",45,샐러드,한식
,"사과, 부사, 생것",22.5,,
,"참외, 생것, 씨 제거",22.5,,
