name,weight,Class,Energy,Protein,Potassium,Phosphorus,Sodium
가쓰오부시우동,310.5,면,243.9,5.6,283.7,48.1,1068.5
가쓰오부시장국,54.0,국,20.6,3.3,227.4,79.5,727.8
가쓰오우동,106.05,면,148.5,4.8,96.0,42.6,520.4
가쓰오유부국,104.7,국,52.1,4.4,169.1,102.4,552.9
가쓰오장국,181.5,국,60.3,5.4,191.3,84.5,761.7
가자미구이,105.3,구이,213.3,20.7,348.3,182.8,307.9
가자미레몬구이,120.45,구이,142.2,21.5,292.9,251.4,295.2
가자미무조림,154.8,조림,152.1,23.8,542.7,224.7,487.4
가자미양념찜,136.8,찜,170.4,27.2,516.7,248.5,421.5
가자미카레구이,130.8,구이,206.3,23.4,332.6,268.8,952.0
가지나물,49.95,샐러드,20.3,0.8,127.0,22.7,181.0
가지볶음,70.2,볶음,56.5,1.2,171.3,29.4,216.6
가지튀김양념장,58.5,튀김,34.3,1.1,137.3,25.9,287.1
감귤,100.0,과일(간식),39.0,0.5,101.0,12.0,2.0
감자고추장조림,79.8,조림,86.1,2.3,347.3,41.7,532.2
감자다시마국,65.85,국,68.8,3.1,378.0,75.3,374.0
감자맑은국,90.6,국,64.6,3.7,418.9,85.4,712.1
감자양파국,62.1,국,43.9,2.9,248.3,71.9,328.4
감자양팟국,85.2,국,51.8,3.5,413.0,92.3,288.8
감자옹심이국,123.75,국,93.5,6.0,535.6,144.7,505.4
감자조림,104.1,조림,107.0,2.3,401.2,37.5,216.7
감자채당근볶음,86.85,볶음,57.1,1.5,302.3,28.3,89.4
감자채볶음,109.35,볶음,80.4,2.2,443.4,36.8,87.7
감자채카레볶음,84.75,볶음,100.3,1.9,314.4,33.7,297.2
감자채피망볶음,86.85,볶음,56.7,1.6,299.4,28.1,87.6
감자채햄볶음,86.3,볶음,80.1,7.4,310.3,99.2,264.4
감자표고조림,85.35,조림,75.9,1.9,299.2,30.5,181.1
강된장찌개,71.25,국,106.1,6.0,211.3,129.7,592.2
건새우꽈리고추볶음,122.68,볶음,101.8,4.7,349.3,98.5,271.4
건새우마늘종볶음,53.4,볶음,103.4,5.1,105.8,98.5,863.6
건새우무조림,123.0,조림,77.3,7.0,385.9,162.6,596.4
건새우뭇국,45.0,국,21.5,2.5,187.1,57.7,357.3
건새우미역국,13.35,국,42.5,3.5,59.8,70.1,758.2
