식재료명	식품군	에너지	단백질	칼륨	인	나트륨	결측항목(채울것)	DB등록
"가다랑어, 반건"	(DB에 없음)						전부	N
"고둥, 갈색띠매물고둥, 생것"	어패류 및 그 제품	78	15.1	345	118	50	"칼륨, 나트륨"	Y
"고려엉겅퀴(곤드레), 재배, 말린것"	채소류	310	5.6	550	116	2	"칼륨, 나트륨"	Y
"김, 둥근돌김, 말린것"	해조류	165	35.5	3500	472	684	"칼륨, 나트륨"	Y
깊은바다소금빵	(DB에 없음)						전부	N
"깨소금, 가루, 볶은것"	조미료류	638	18.1	460	640	200	"칼륨, 나트륨"	Y
"담치, 참담치(홍합), 생것"	어패류 및 그 제품	86	11.9	320	197	286	"칼륨, 나트륨"	Y
"담치, 참담치(홍합), 통조림"	어패류 및 그 제품	89	15.8	210	84	840	"칼륨, 나트륨"	Y
"대합, 북방대합, 생것"	어패류 및 그 제품	62	12	200	162	121	"칼륨, 나트륨"	Y
"멸치, 생것"	어패류 및 그 제품	127	17.7	343	202	104	"칼륨, 나트륨"	Y
"명태, 코다리, 반건조"	어패류 및 그 제품	290	61.7	229	582	208	나트륨	Y
물	(DB에 없음)						전부	N
"미더덕, 생것"	어패류 및 그 제품	44	4.3	110	111	294	"칼륨, 나트륨"	Y
"미역, 양식, 생것"	해조류	15	2.1	402	40	60	"칼륨, 나트륨"	Y
"바지락, 통조림"	어패류 및 그 제품	91	15.2	230	124	370	"칼륨, 나트륨"	Y
"부추, 재래종, 생것"	채소류	22	1.8	550	23	3	칼륨	Y
"새우, 가시발새우, 생것"	어패류 및 그 제품	71	15.2	170	206	180	"칼륨, 나트륨"	Y
"새우, 각시흰새우, 생것"	어패류 및 그 제품	85	15.7	329	329	85	"칼륨, 나트륨"	Y
"새우, 꽃새우, 생것"	어패류 및 그 제품	114	22	300	261	170	"칼륨, 나트륨"	Y
"새우, 중하, 삶아서 말린것"	어패류 및 그 제품	300	54.4	250	982	1967	"칼륨, 나트륨"	Y
"소금, 천일염, 소금꽃"	조미료류	21	0	96	5	40626	인	Y
소프트원 커스타드	(DB에 없음)						전부	N
"수리취(떡취), 생것"	채소류	64	3.9	3249	21	226	"칼륨, 나트륨"	Y
"아귀, 생것"	어패류 및 그 제품	63	14.1	210	150	40	"칼륨, 나트륨"	Y
"어묵, 구운것"	어패류 및 그 제품	141	15.4	241	211	983	"칼륨, 나트륨"	Y
"우렁이, 왕우렁, 생것"	어패류 및 그 제품	66	10.6	170	127	40	"칼륨, 나트륨"	Y
우뭇가사리묵(우무)	해조류	2	0.1	226	3	9	"칼륨, 나트륨"	Y
"임연수어, 생것"	어패류 및 그 제품	152	19.6	390	231	60	"칼륨, 나트륨"	Y
"조개, 살조개, 생것"	어패류 및 그 제품	89	14.2	145	197	124	"칼륨, 나트륨"	Y
"조미소, 가루"	(DB에 없음)	174	16.6		68		전부	N
"주꾸미, 생것"	어패류 및 그 제품	52	10.8	310	129	240	"칼륨, 나트륨"	Y
"쥐치, 생것"	어패류 및 그 제품	83	19.1	358	283	169	"칼륨, 나트륨"	Y
"톳, 생것"	해조류	16	1.9	1140	32	2.3	"칼륨, 나트륨"	Y
