원재료,원재료등급,원재료_P/단백질,대체재,대체재등급,대체재_P/단백질,식품군,Δ비율,단백질유지%,원재료_인,대체재_인,원재료_단백질,대체재_단백질
새우완자,고,36.5,닭고기,저,4.6,조리가공식품류,31.9,240.0,243.0,110.0,10.0,24.0
새우완자,고,36.5,소고기,저,7.9,조리가공식품류,28.5,231.0,243.0,183.0,10.0,23.1
새우완자,고,36.5,가자미,저,8.9,조리가공식품류,27.6,221.0,243.0,196.0,10.0,22.1
새우완자,고,36.5,참치,저,8.9,조리가공식품류,27.6,223.0,243.0,198.0,10.0,22.31
새우완자,고,36.5,돼지고기,저,9.6,조리가공식품류,26.9,194.0,243.0,186.0,10.0,19.45
새우완자,고,36.5,삼치,저,10.5,조리가공식품류,25.9,201.0,243.0,211.0,10.0,20.08
새우완자,고,36.5,고등어,저,11.5,조리가공식품류,25.0,202.0,243.0,232.0,10.0,20.2
새우완자,고,36.5,오징어,중,14.3,조리가공식품류,22.1,188.0,243.0,270.0,10.0,18.84
치킨너겟,고,25.0,닭고기,저,4.6,육류 및 그 제품,20.4,157.0,255.0,110.0,15.3,24.0
미꾸라지,고,27.0,가자미,저,8.9,어패류 및 그 제품,18.1,136.0,437.0,196.0,16.2,22.1
미더덕,고,25.8,가자미,저,8.9,어패류 및 그 제품,16.9,514.0,111.0,196.0,4.3,22.1
미꾸라지,고,27.0,삼치,저,10.5,어패류 및 그 제품,16.5,124.0,437.0,211.0,16.2,20.08
소시지,고,20.4,닭고기,저,4.6,육류 및 그 제품,15.8,157.0,208.0,110.0,15.27,24.0
스프,고,28.8,달걀,중,13.1,조리가공식품류,15.7,173.0,143.0,169.0,7.44,12.86
미꾸라지,고,27.0,고등어,저,11.5,어패류 및 그 제품,15.5,125.0,437.0,232.0,16.2,20.2
미더덕,고,25.8,삼치,저,10.5,어패류 및 그 제품,15.3,467.0,111.0,211.0,4.3,20.08
미꾸라지,고,27.0,임연수,저,11.8,어패류 및 그 제품,15.2,121.0,437.0,231.0,16.2,19.6
소시지,고,20.4,소고기,저,7.9,육류 및 그 제품,12.5,151.0,208.0,183.0,15.27,23.1
만두,고,16.9,닭고기,저,4.6,조리가공식품류,12.3,272.0,99.0,110.0,8.81,24.0
소시지,고,20.4,돼지고기,저,9.6,육류 및 그 제품,10.9,127.0,208.0,186.0,15.27,19.45
만두,고,16.9,소고기,저,7.9,조리가공식품류,8.9,262.0,99.0,183.0,8.81,23.1
소시지,고,20.4,고등어,저,11.5,육류 및 그 제품,8.9,132.0,208.0,232.0,15.27,20.2
만두,고,16.9,돼지고기,저,9.6,조리가공식품류,7.3,221.0,99.0,186.0,8.81,19.45
햄,고,20.3,달걀,중,13.1,육류 및 그 제품,7.1,85.0,204.0,169.0,15.11,12.86
만두,고,16.9,두부,저,11.5,조리가공식품류,5.4,109.0,99.0,158.0,8.81,9.62
홍합,고,18.0,오징어,중,14.3,어패류 및 그 제품,3.7,137.0,249.0,270.0,13.8,18.84
