원재료,원재료군,원재료_1회분칼륨(mg),대체재,대체재군,대체재_1회분칼륨(mg),식품군,1회분감소량(mg),감소율(%),원재료_100g칼륨,대체재_100g칼륨
멸치,고,522.5,육수,저,14.5,어패류 및 그 제품,508.0,97.2,1045.0,29.0
시금치,고,483.7,숙주,저,58.8,채소류,424.9,87.8,691.0,84.0
황태,고,534.0,동태,중,119.0,어패류 및 그 제품,415.0,77.7,1068.0,238.0
북어,고,577.0,오징어,중,175.5,어패류 및 그 제품,401.5,69.6,1154.0,351.0
북어,고,577.0,가자미,중,188.5,어패류 및 그 제품,388.5,67.3,1154.0,377.0
북어,고,577.0,삼치,중,193.5,어패류 및 그 제품,383.5,66.5,1154.0,387.0
방풍,고,462.7,깻잎,저,84.4,채소류,378.3,36.2,661.0,422.0
쑥,고,456.4,깻잎,저,84.4,채소류,372.0,35.3,652.0,422.0
황태,고,534.0,오징어,중,175.5,어패류 및 그 제품,358.5,67.1,1068.0,351.0
멸치,고,522.5,오징어,중,175.5,어패류 및 그 제품,347.0,66.4,1045.0,351.0
시금치,고,483.7,오이,저,137.2,채소류,346.5,71.6,691.0,196.0
시금치,고,483.7,고사리,저,137.9,채소류,345.8,71.5,691.0,197.0
근대,고,393.4,숙주,저,58.8,채소류,334.6,85.1,562.0,84.0
미숫가루,고,386.4,전분,저,52.8,곡류 및 그 제품,333.6,92.0,552.0,44.0
참나물,고,407.4,깻잎,저,84.4,채소류,323.0,27.5,582.0,422.0
쑥,고,456.4,팽이버섯,저,145.6,채소류,310.8,44.2,652.0,364.0
방풍,고,462.7,콩나물,저,152.6,채소류,310.1,67.0,661.0,218.0
시금치,고,483.7,양배추,중,176.4,채소류,307.3,63.5,691.0,252.0
미숫가루,고,386.4,밀가루,저,80.5,곡류 및 그 제품,305.9,79.2,552.0,115.0
취나물,고,389.2,깻잎,저,84.4,채소류,304.8,24.1,556.0,422.0
방풍,고,462.7,가지,저,162.4,채소류,300.3,64.9,661.0,232.0
비름,고,469.0,얼갈이,중,172.2,채소류,296.8,63.3,670.0,246.0
미숫가루,고,386.4,빵가루,저,93.8,곡류 및 그 제품,292.6,75.7,552.0,134.0
미숫가루,고,386.4,튀김가루,저,95.9,곡류 및 그 제품,290.5,75.2,552.0,137.0
비름,고,469.0,느타리버섯,중,179.2,채소류,289.8,61.8,670.0,256.0
미숫가루,고,386.4,부침가루,저,98.0,곡류 및 그 제품,288.4,74.6,552.0,140.0
근대,고,393.4,도라지,중,115.5,채소류,277.9,58.9,562.0,231.0
쑥,고,456.4,느타리버섯,중,179.2,채소류,277.2,60.7,652.0,256.0
비름,고,469.0,무우,중,195.3,채소류,273.7,58.4,670.0,279.0
쑥,고,456.4,배추,저,183.4,채소류,273.0,59.8,652.0,262.0
고춧잎,고,412.3,팽이버섯,저,145.6,채소류,266.7,38.2,589.0,364.0
근대,고,393.4,오이,저,137.2,채소류,256.2,65.1,562.0,196.0
참나물,고,407.4,콩나물,저,152.6,채소류,254.8,62.5,582.0,218.0
근대,고,393.4,콩나물,저,152.6,채소류,240.8,61.2,562.0,218.0
유채,고,299.6,숙주,저,58.8,채소류,240.8,80.4,428.0,84.0
취나물,고,389.2,콩나물,저,152.6,채소류,236.6,60.8,556.0,218.0
고춧잎,고,412.3,느타리버섯,중,179.2,채소류,233.1,56.5,589.0,256.0
방풍,고,462.7,연근,중,239.0,채소류,223.7,27.7,661.0,478.0
새싹,고,343.7,오이,저,137.2,채소류,206.5,60.1,491.0,196.0
갓,고,264.6,숙주,저,58.8,채소류,205.8,77.8,378.0,84.0
수수,고,256.9,쌀,저,58.8,곡류 및 그 제품,198.1,77.1,367.0,84.0
잡곡,고,256.2,쌀,저,58.8,곡류 및 그 제품,197.4,77.0,366.0,84.0
팥,고,247.1,찹쌀,저,55.3,두류(전분),191.8,77.6,353.0,79.0
새싹,고,343.7,콩나물,저,152.6,채소류,191.1,55.6,491.0,218.0
팥,고,247.1,쌀,저,58.8,두류(전분),188.3,76.2,353.0,84.0
유채,고,299.6,도라지,중,115.5,채소류,184.1,46.0,428.0,231.0
양송이버섯,고,267.4,표고버섯,저,83.4,버섯류,184.0,27.2,382.0,278.0
갓,고,264.6,표고버섯,저,83.4,채소류,181.2,26.5,378.0,278.0
토란대,고,301.0,쪽파,저,121.2,채소류,179.8,29.5,430.0,303.0
열무,고,230.3,숙주,저,58.8,채소류,171.5,74.5,329.0,84.0
새우,고,340.0,오징어,중,175.5,어패류 및 그 제품,164.5,48.4,680.0,351.0
유채,고,299.6,오이,저,137.2,채소류,162.4,54.2,428.0,196.0
유채,고,299.6,고사리,저,137.9,채소류,161.7,54.0,428.0,197.0
죽순,고,327.6,피망,저,179.9,채소류,147.7,45.1,468.0,257.0
시금치,고,483.7,상추,중,341.6,채소류,142.1,29.4,691.0,488.0
미나리,고,196.0,숙주,저,58.8,채소류,137.2,70.0,280.0,84.0
유채,고,299.6,가지,저,162.4,채소류,137.2,45.8,428.0,232.0
비타민채(다채),고,273.7,오이,저,137.2,채소류,136.5,49.9,391.0,196.0
곰취,고,329.0,무우,중,195.3,채소류,133.7,40.6,470.0,279.0
토란대,고,301.0,얼갈이,중,172.2,채소류,128.8,42.8,430.0,246.0
갓,고,264.6,오이,저,137.2,채소류,127.4,48.1,378.0,196.0
갓,고,264.6,고사리,저,137.9,채소류,126.7,47.9,378.0,197.0
유채,고,299.6,양배추,중,176.4,채소류,123.2,41.1,428.0,252.0
토란대,고,301.0,느타리버섯,중,179.2,채소류,121.8,40.5,430.0,256.0
열무,고,230.3,도라지,중,115.5,채소류,114.8,29.8,329.0,231.0
갓,고,264.6,콩나물,저,152.6,채소류,112.0,42.3,378.0,218.0
당근,고,206.5,양파,저,103.6,채소류,102.9,49.8,295.0,148.0
갓,고,264.6,가지,저,162.4,채소류,102.2,38.6,378.0,232.0
컬리플라워,고,282.1,피망,저,179.9,채소류,102.2,36.2,403.0,257.0
부추,고,277.2,양배추,중,176.4,채소류,100.8,36.4,396.0,252.0
비타민채(다채),고,273.7,양배추,중,176.4,채소류,97.3,35.5,391.0,252.0
김치,고,233.8,오이,저,137.2,채소류,96.6,41.3,334.0,196.0
쥐치,고,251.5,고등어,중,155.0,어패류 및 그 제품,96.5,38.4,503.0,310.0
대구,고,201.5,두부,중,105.6,어패류 및 그 제품,95.9,67.2,403.0,132.0
열무,고,230.3,오이,저,137.2,채소류,93.1,40.4,329.0,196.0
열무,고,230.3,고사리,저,137.9,채소류,92.4,40.1,329.0,197.0
양송이버섯,고,267.4,느타리버섯,중,179.2,버섯류,88.2,33.0,382.0,256.0
컬리플라워,고,282.1,무우,중,195.3,채소류,86.8,30.8,403.0,279.0
대구,고,201.5,동태,중,119.0,어패류 및 그 제품,82.5,40.9,403.0,238.0
열무,고,230.3,콩나물,저,152.6,채소류,77.7,33.7,329.0,218.0
청경채,고,256.2,느타리버섯,중,179.2,채소류,77.0,30.1,366.0,256.0
청경채,고,256.2,피망,저,179.9,채소류,76.3,29.8,366.0,257.0
쥐치,고,251.5,오징어,중,175.5,어패류 및 그 제품,76.0,30.2,503.0,351.0
브로콜리,고,248.5,양배추,중,176.4,채소류,72.1,29.0,355.0,252.0
쥐치,고,251.5,가자미,중,188.5,어패류 및 그 제품,63.0,25.0,503.0,377.0
미나리,고,196.0,고사리,저,137.9,채소류,58.1,29.6,280.0,197.0
쥐치,고,251.5,삼치,중,193.5,어패류 및 그 제품,58.0,23.1,503.0,387.0
열무,고,230.3,양배추,중,176.4,채소류,53.9,23.4,329.0,252.0
김치,고,233.8,배추,저,183.4,채소류,50.4,21.6,334.0,262.0
열무,고,230.3,배추,저,183.4,채소류,46.9,20.4,329.0,262.0
대구,고,201.5,고등어,중,155.0,어패류 및 그 제품,46.5,23.1,403.0,310.0
세발나물,고,225.4,느타리버섯,중,179.2,채소류,46.2,20.5,322.0,256.0
미나리,고,196.0,콩나물,저,152.6,채소류,43.4,22.1,280.0,218.0
아욱,고,213.0,느타리버섯,중,179.2,채소류,33.8,39.9,426.0,256.0
아욱,고,213.0,무우,중,195.3,채소류,17.7,34.5,426.0,279.0
